book dataset skim bx pdfrwgt json
#t2mit/filefi/043  VectorMonoZ_Mphi-100_Mchi-10_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-100_Mchi-10_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-100_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-100_Mchi-1_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10_Mchi-1000_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10_Mchi-100_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10_Mchi-100_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10_Mchi-1_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10_Mchi-500_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10_Mchi-500_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10_Mchi-50_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-15_Mchi-10_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-15_Mchi-10_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-195_Mchi-100_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-195_Mchi-100_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-1995_Mchi-1000_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-1995_Mchi-1000_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-2000_Mchi-100_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-2000_Mchi-100_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-2000_Mchi-10_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-2000_Mchi-10_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-2000_Mchi-150_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-2000_Mchi-150_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-2000_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-2000_Mchi-1_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-2000_Mchi-500_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-2000_Mchi-500_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-2000_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-2000_Mchi-50_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-200_Mchi-10_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-200_Mchi-10_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-200_Mchi-150_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-200_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-200_Mchi-1_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-200_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-200_Mchi-50_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-20_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-20_Mchi-1_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-295_Mchi-150_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-295_Mchi-150_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-300_Mchi-100_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-300_Mchi-100_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-300_Mchi-10_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-300_Mchi-10_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-300_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-300_Mchi-1_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-300_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-300_Mchi-50_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-5000_Mchi-1000_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-5000_Mchi-1000_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-5000_Mchi-100_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-5000_Mchi-10_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-5000_Mchi-10_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-5000_Mchi-150_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-5000_Mchi-150_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-5000_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-5000_Mchi-1_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-5000_Mchi-500_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-5000_Mchi-500_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-5000_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-5000_Mchi-50_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-500_Mchi-100_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-500_Mchi-100_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-500_Mchi-10_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-500_Mchi-10_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-500_Mchi-150_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-500_Mchi-150_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-500_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-500_Mchi-1_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-500_Mchi-500_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-500_Mchi-500_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-500_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-500_Mchi-50_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-50_Mchi-10_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-50_Mchi-10_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-50_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-50_Mchi-1_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-50_Mchi-50_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-95_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-95_Mchi-50_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-995_Mchi-500_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-995_Mchi-500_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  ADDMonoZ_ZToLL_MD-3_d-2_TuneCUETP8M1_13TeV-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  ADDMonoZ_ZToLL_MD-3_d-3_TuneCUETP8M1_13TeV-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v2+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  ADDMonoZ_ZToLL_MD-3_d-4_TuneCUETP8M1_13TeV-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  ADDMonoZ_ZToLL_MD-3_d-5_TuneCUETP8M1_13TeV-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
